sourceSystem,sourceDirectory,sourceId,slug,name,typeLabel,excerpt,description,location,locationLabel,country,specialties,languages,formats,verified,listingStatus,reviewCount,rating,website,email,phone,organizationName,credentials,rawRole,rawOrganization,sourceLocation,city,stateProvince,postcode,sourceUrl,latitude,longitude,scrapedAt
rock-steady-boxing,Rock Steady Boxing Member Directory,member-directory:neurobalance-center-3788355,member-directory-neurobalance-center-1529-s-grove-ave-barrington-il-60010-united-states,Rock Steady Boxing,Exercise Program,Rock Steady Boxing is listed in the official Rock Steady Boxing directory.,"Rock Steady Boxing is listed in the official Rock Steady Boxing Member Directory. Categories: Parkinson's Disease, Rock Steady Boxing, Illinois, NeuroBalance Center, Boxing, Exercise/Fitness, Neurological conditions, Health and Wellness. Address: 1529 S Grove Ave, Barrington, IL 60010, United States.","Barrington, IL, United States","Barrington, IL, United States",United States,Parkinson's Disease | Rock Steady Boxing | Illinois | NeuroBalance Center | Boxing | Exercise/Fitness | Neurological conditions | Health and Wellness | Exercise | Parkinson's Care,,in-person,false,unclaimed,0,0,https://neurobalancecenter.org/,,8478006162,Rock Steady Boxing,,member-directory,Rock Steady Boxing,"1529 S Grove Ave, Barrington, IL 60010, United States",Barrington,IL,60010,https://members.rocksteadyboxing.org/member-directory/Details/neurobalance-center-3788355,42.1312971,-88.1268209,2026-03-28T03:14:36.171Z
rock-steady-boxing,Rock Steady Boxing Member Directory,member-directory:bluffton-in-2829611,member-directory-bluffton-in-128-e-market-st-bluffton-in-46714-united-states,"Rock Steady Boxing Bluffton, IN",Community Program,"Rock Steady Boxing Bluffton, IN is listed in the official Rock Steady Boxing directory.","Rock Steady Boxing Bluffton, IN is listed in the official Rock Steady Boxing Member Directory. Address: 128 E Market St, Bluffton, IN 46714, United States.","Bluffton, IN, United States","Bluffton, IN, United States",United States,Community Program | Parkinson's Care,,in-person,false,unclaimed,0,0,,,2608246069,"Rock Steady Boxing Bluffton, IN",,member-directory,Rock Steady Boxing,"128 E Market St, Bluffton, IN 46714, United States",Bluffton,IN,46714,https://members.rocksteadyboxing.org/member-directory/Details/bluffton-in-2829611,40.73938380000001,-85.1697677,2026-03-28T03:14:36.173Z
rock-steady-boxing,Rock Steady Boxing Member Directory,member-directory:rock-steady-boxing-houston-medical-center-2829380,member-directory-rock-steady-boxing-houston-medical-center-8369-almeda-road-suite-s-houston-tx-77054-united-states,Rock Steady Boxing Houston Medical Center,Exercise Program,Rock Steady Boxing Houston Medical Center is listed in the official Rock Steady Boxing directory.,"Rock Steady Boxing Houston Medical Center is listed in the official Rock Steady Boxing Member Directory. Address: 8369 Almeda Road, Suite S, Houston, TX 77054, United States.","Houston, TX, United States","Houston, TX, United States",United States,Boxing | Exercise | Parkinson's Care,,in-person,false,unclaimed,0,0,http://rocksteadyboxinghoustonmedicalcenter.com/,,8324631575,Rock Steady Boxing Houston Medical Center,,member-directory,Rock Steady Boxing,"8369 Almeda Road, Suite S, Houston, TX 77054, United States",Houston,TX,77054,https://members.rocksteadyboxing.org/member-directory/Details/rock-steady-boxing-houston-medical-center-2829380,29.6874205,-95.39039100000001,2026-03-28T03:14:36.173Z
rock-steady-boxing,Rock Steady Boxing Member Directory,member-directory:oceanside-2829186,member-directory-oceanside-918-mission-ave-oceanside-ca-92054-united-states,Rock Steady Boxing Oceanside offers non-contact boxing for Parkinson’s patients,Exercise Program,Rock Steady Boxing Oceanside offers non-contact boxing for Parkinson’s patients is listed in the official Rock Steady Boxing directory.,"Rock Steady Boxing Oceanside offers non-contact boxing for Parkinson’s patients is listed in the official Rock Steady Boxing Member Directory. Categories: Rock Steady Boxing Oceanside offers non-contact boxing for Parkinson’s patients, improving balance, mobility, and quality of life with certified trainers.. Address: 918 Mission Ave, Oceanside, CA 92054, United States.","Oceanside, CA, United States","Oceanside, CA, United States",United States,Rock Steady Boxing Oceanside offers non-contact boxing for Parkinson’s patients | improving balance | mobility | and quality of life with certified trainers. | Boxing | Exercise | Parkinson's Care,,in-person,false,unclaimed,0,0,,,7609817273,Rock Steady Boxing Oceanside offers non-contact boxing for Parkinson’s patients,,member-directory,Rock Steady Boxing,"918 Mission Ave, Oceanside, CA 92054, United States",Oceanside,CA,92054,https://members.rocksteadyboxing.org/member-directory/Details/oceanside-2829186,33.1983867,-117.376199,2026-03-28T03:14:36.173Z
rock-steady-boxing,Rock Steady Boxing Member Directory,member-directory:victory-martial-arts-ruskin-2829842,member-directory-victory-martial-arts-ruskin-victory-martial-arts-3052-e-college-ave-ruskin-fl-33570-united-states,Rock Steady Boxing Southshore,Exercise Program,Rock Steady Boxing Southshore is listed in the official Rock Steady Boxing directory.,"Rock Steady Boxing Southshore is listed in the official Rock Steady Boxing Member Directory. Categories: Rock Steady Boxing Southshore, FL. Address: Victory Martial Arts, 3052 E College Ave, Ruskin, FL 33570, United States.","Ruskin, FL, United States","Ruskin, FL, United States",United States,Rock Steady Boxing Southshore | FL | Boxing | Exercise | Parkinson's Care,,in-person,false,unclaimed,0,0,,,,Rock Steady Boxing Southshore,,member-directory,Rock Steady Boxing,"Victory Martial Arts, 3052 E College Ave, Ruskin, FL 33570, United States",Ruskin,FL,33570,https://members.rocksteadyboxing.org/member-directory/Details/victory-martial-arts-ruskin-2829842,27.7148877,-82.39171970000001,2026-03-28T03:14:36.173Z
rock-steady-boxing,Rock Steady Boxing Member Directory,member-directory:crown-boxing-gym-2829438,member-directory-crown-boxing-gym-1010-ballard-st-lansing-mi-48906-united-states,Rock Steady Boxing - Crown Boxing Gym,Exercise Program,Rock Steady Boxing - Crown Boxing Gym is listed in the official Rock Steady Boxing directory.,"Rock Steady Boxing - Crown Boxing Gym is listed in the official Rock Steady Boxing Member Directory. Address: 1010 Ballard St., Lansing, MI 48906, United States.","Lansing, MI, United States","Lansing, MI, United States",United States,Boxing | Exercise | Parkinson's Care,,in-person,false,unclaimed,0,0,,,5174495995,Rock Steady Boxing - Crown Boxing Gym,,member-directory,Rock Steady Boxing,"1010 Ballard St., Lansing, MI 48906, United States",Lansing,MI,48906,https://members.rocksteadyboxing.org/member-directory/Details/crown-boxing-gym-2829438,42.7448103,-84.53935419999999,2026-03-28T03:14:36.173Z
rock-steady-boxing,Rock Steady Boxing Member Directory,member-directory:270-2829664,member-directory-270-607-poplar-street-murray-ky-42071-united-states,Rock Steady Boxing 270 Murray,Exercise Program,Rock Steady Boxing 270 Murray is listed in the official Rock Steady Boxing directory.,"Rock Steady Boxing 270 Murray is listed in the official Rock Steady Boxing Member Directory. Categories: Rock Steady Boxing 270 Murray, KY. Address: 607 Poplar Street, Murray, KY 42071, United States.","Murray, KY, United States","Murray, KY, United States",United States,Rock Steady Boxing 270 Murray | KY | Boxing | Exercise | Parkinson's Care,,in-person,false,unclaimed,0,0,,,2709789257,Rock Steady Boxing 270 Murray,,member-directory,Rock Steady Boxing,"607 Poplar Street, Murray, KY 42071, United States",Murray,KY,42071,https://members.rocksteadyboxing.org/member-directory/Details/270-2829664,36.6084424,-88.30532629999999,2026-03-28T03:14:36.173Z
rock-steady-boxing,Rock Steady Boxing Member Directory,member-directory:rock-steady-boxing-music-city-located-inside-steps-fitness-2829238,member-directory-rock-steady-boxing-music-city-located-inside-steps-fitness-2424-21st-avenue-south-nashville-tn-37215-united-states,Rock Steady Boxing Music City located inside STEPS Fitness,Exercise Program,Rock Steady Boxing Music City located inside STEPS Fitness is listed in the official Rock Steady Boxing directory.,"Rock Steady Boxing Music City located inside STEPS Fitness is listed in the official Rock Steady Boxing Member Directory. Address: 2424 21st Avenue South, Nashville, TN 37215, United States.","Nashville, TN, United States","Nashville, TN, United States",United States,Boxing | Exercise | Parkinson's Care,,in-person,false,unclaimed,0,0,,,6159443284,Rock Steady Boxing Music City located inside STEPS Fitness,,member-directory,Rock Steady Boxing,"2424 21st Avenue South, Nashville, TN 37215, United States",Nashville,TN,37215,https://members.rocksteadyboxing.org/member-directory/Details/rock-steady-boxing-music-city-located-inside-steps-fitness-2829238,36.1261128,-86.8043409,2026-03-28T03:14:36.173Z
rock-steady-boxing,Rock Steady Boxing Member Directory,member-directory:324-e-main-st-east-helena-mt-59635-2829399,member-directory-324-e-main-st-east-helena-mt-59635-324-e-main-st-east-helena-mt-59635-united-states,"Rock Steady Boxing East Helena, MT",Community Program,"Rock Steady Boxing East Helena, MT is listed in the official Rock Steady Boxing directory.","Rock Steady Boxing East Helena, MT is listed in the official Rock Steady Boxing Member Directory. Address: 324 E Main St., East Helena, MT 59635, United States.","East Helena, MT, United States","East Helena, MT, United States",United States,Community Program | Parkinson's Care,,in-person,false,unclaimed,0,0,,,4064653188,"Rock Steady Boxing East Helena, MT",,member-directory,Rock Steady Boxing,"324 E Main St., East Helena, MT 59635, United States",East Helena,MT,59635,https://members.rocksteadyboxing.org/member-directory/Details/324-e-main-st-east-helena-mt-59635-2829399,46.58969070000001,-111.915001,2026-03-28T03:14:36.173Z
rock-steady-boxing,Rock Steady Boxing Member Directory,member-directory:561-2829662,member-directory-561-7103-lake-worth-road-lake-worth-fl-33467-united-states,"Rock Steady Boxing Lake Worth, FL",Community Program,"Rock Steady Boxing Lake Worth, FL is listed in the official Rock Steady Boxing directory.","Rock Steady Boxing Lake Worth, FL is listed in the official Rock Steady Boxing Member Directory. Address: 7103 Lake Worth Road, Lake Worth, FL 33467, United States.","Lake Worth, FL, United States","Lake Worth, FL, United States",United States,Community Program | Parkinson's Care,,in-person,false,unclaimed,0,0,,,3153829918,"Rock Steady Boxing Lake Worth, FL",,member-directory,Rock Steady Boxing,"7103 Lake Worth Road, Lake Worth, FL 33467, United States",Lake Worth,FL,33467,https://members.rocksteadyboxing.org/member-directory/Details/561-2829662,26.6180473,-80.1585358,2026-03-28T03:14:36.174Z
